ID,Gene,ncbi,RSG
474,hsa124404,124404,NG_030315.1
475,hsa124512,124512,NG_041790.1
476,hsa124583,124583,NG_016645.1
477,hsa124590,124590,NG_007882.2
478,hsa124925,124925,NG_051223.1
479,hsa125,125,NG_011435.1
480,hsa125115,125115,NG_012412.1
481,hsa125336,125336,NG_016646.2
482,hsa1258,1258,NG_016351.1
483,hsa1259,1259,NG_009193.1
484,hsa126,126,NG_011718.1
485,hsa1260,1260,NG_016352.1
486,hsa126003,126003,NG_055288.1
487,hsa1261,1261,NG_009097.1
488,hsa126129,126129,NG_050570.1
489,hsa126133,126133,NG_012747.1
490,hsa126298,126298,NG_055008.1
491,hsa126326,126326,NG_031943.1
492,hsa126328,126328,NG_027808.1
493,hsa126393,126393,NG_031983.2
494,hsa126792,126792,NG_033265.1
495,hsa1270,1270,NG_008776.2
496,hsa1271,1271,NG_047044.1
497,hsa1272,1272,NG_012058.2
498,hsa1277,1277,NG_007400.1
499,hsa1278,1278,NG_007405.1
500,hsa127833,127833,NG_041776.1
501,hsa127933,127933,NG_050728.1
502,hsa1280,1280,NG_008072.1
503,hsa1281,1281,NG_007404.1
504,hsa128178,128178,NG_011566.1
505,hsa1282,1282,NG_011544.2
506,hsa128240,128240,NG_052542.1
507,hsa1284,1284,NG_032137.1
508,hsa1285,1285,NG_011591.1
509,hsa128553,128553,NG_053184.1
510,hsa1286,1286,NG_011592.1
511,hsa128653,128653,NG_053067.1
512,hsa1287,1287,NG_011977.2
513,hsa1288,1288,NG_012059.2
514,hsa128866,128866,NG_015820.1
515,hsa128869,128869,NG_011497.1
516,hsa128876,128876,NG_053068.1
517,hsa1289,1289,NG_008030.1
518,hsa1290,1290,NG_011799.3
519,hsa1291,1291,NG_008674.1
520,hsa1292,1292,NG_008675.1
521,hsa1293,1293,NG_008676.1
522,hsa1294,1294,NG_007065.1
523,hsa129563,129563,NG_032572.1
524,hsa1296,1296,NG_016245.2
525,hsa1297,1297,NG_011654.1
526,hsa1298,1298,NG_008031.1
527,hsa129880,129880,NG_011567.1
528,hsa1299,1299,NG_016353.1
529,hsa1300,1300,NG_008032.1
530,hsa1301,1301,NG_008033.2
531,hsa130162,130162,NG_033063.1
532,hsa1302,1302,NG_011589.1
533,hsa1303,1303,NG_042181.1
534,hsa130340,130340,NG_034017.1
535,hsa1305,1305,NG_046344.1
536,hsa130557,130557,NG_028219.1
537,hsa1308,1308,NG_007069.1
538,hsa1311,1311,NG_007070.1
539,hsa131118,131118,NG_022933.1
540,hsa1312,1312,NG_011526.1
541,hsa131377,131377,NG_033035.1
542,hsa1314,1314,NG_050927.1
543,hsa1316,1316,NG_012277.1
544,hsa131669,131669,NG_016286.1
545,hsa132158,132158,NG_023246.1
546,hsa132320,132320,NG_034202.1
547,hsa1326,1326,NG_029984.1
548,hsa132671,132671,NG_051630.1
549,hsa1327,1327,NG_042280.1
550,hsa132884,132884,NG_015821.1
551,hsa133396,133396,NG_029436.1
552,hsa133522,133522,NG_016747.1
553,hsa1337,1337,NG_034299.1
554,hsa133957,133957,NG_033064.1
555,hsa134,134,NG_052917.1
556,hsa1340,1340,NG_012193.1
557,hsa134218,134218,NG_052822.1
558,hsa134430,134430,NG_008979.1
559,hsa134701,134701,NG_046722.1
560,hsa1349,1349,NG_033027.2
561,hsa135,135,NG_052804.1
562,hsa1351,1351,NG_046750.1
563,hsa135250,135250,NG_029833.1
564,hsa1355,1355,NG_008986.1
565,hsa1356,1356,NG_011800.3
566,hsa1357,1357,NG_042276.1
567,hsa1361,1361,NG_032893.2
568,hsa136227,136227,NG_033785.2
569,hsa1364,1364,NG_012868.1
570,hsa1365,1365,NG_012023.1
571,hsa136647,136647,NG_016989.2
572,hsa1369,1369,NG_012060.1
573,hsa1371,1371,NG_015994.2
574,hsa1373,1373,NG_008285.1
575,hsa1374,1374,NG_011801.1
576,hsa137492,137492,NG_032996.2
577,hsa1375,1375,NG_012643.1
578,hsa1378,1378,NG_007481.1
579,hsa137868,137868,NG_008899.1
580,hsa1380,1380,NG_013006.1
581,hsa1385,1385,NG_023299.1
582,hsa1386,1386,NG_047045.1
583,hsa1387,1387,NG_009873.2
584,hsa1388,1388,NG_033940.1
585,hsa1390,1390,NG_029065.1
586,hsa139105,139105,NG_021323.1
587,hsa1392,1392,NG_016127.1
588,hsa139212,139212,NG_016377.1
589,hsa139324,139324,NG_017158.2
590,hsa139341,139341,NG_021288.1
591,hsa1394,1394,NG_009902.1
592,hsa139422,139422,NG_017094.1
593,hsa1395,1395,NG_029169.1
594,hsa139596,139596,NG_015972.2
595,hsa139628,139628,NG_021325.1
596,hsa139716,139716,NG_012834.2
597,hsa139793,139793,NG_017195.1
598,hsa1398,1398,NG_029008.1
599,hsa1399,1399,NG_016354.1
600,hsa14,14,NG_033036.1
601,hsa140032,140032,NG_032924.1
602,hsa1401,1401,NG_013007.1
603,hsa140462,140462,NG_016218.1
604,hsa140469,140469,NG_034020.1
605,hsa140597,140597,NG_012818.1
606,hsa1406,1406,NG_008605.1
607,hsa140628,140628,NG_046963.1
608,hsa140691,140691,NG_033935.1
609,hsa140801,140801,NG_050763.1
610,hsa140803,140803,NG_017036.1
611,hsa140807,140807,NG_012427.1
612,hsa140825,140825,NG_033108.1
613,hsa1409,1409,NG_009823.1
614,hsa1410,1410,NG_009824.3
615,hsa1411,1411,NG_008037.1
616,hsa1412,1412,NG_029384.1
617,hsa1413,1413,NG_009825.1
618,hsa1414,1414,NG_009826.1
