ID,Gene,ncbi,RSG
2861,hsa51103,51103,NG_031924.1
2862,hsa51106,51106,NG_027528.2
2863,hsa51107,51107,NG_029952.1
2864,hsa51109,51109,NG_042282.1
2865,hsa5111,5111,NG_047066.1
2866,hsa51111,51111,NG_052873.1
2867,hsa51116,51116,NG_042313.1
2868,hsa51119,51119,NG_007277.1
2869,hsa51124,51124,NG_031925.1
2870,hsa51128,51128,NG_017002.1
2871,hsa51132,51132,NG_013258.1
2872,hsa51133,51133,NG_047148.1
2873,hsa51134,51134,NG_051825.1
2874,hsa51135,51135,NG_009892.1
2875,hsa51142,51142,NG_046734.1
2876,hsa51143,51143,NG_051046.1
2877,hsa51147,51147,NG_047151.1
2878,hsa51150,51150,NG_030007.1
2879,hsa51156,51156,NG_021202.2
2880,hsa5116,5116,NG_008961.2
2881,hsa51160,51160,NG_029456.2
2882,hsa51168,51168,NG_011634.2
2883,hsa51172,51172,NG_028152.1
2884,hsa51176,51176,NG_015798.1
2885,hsa51181,51181,NG_027681.1
2886,hsa51185,51185,NG_016864.2
2887,hsa5119,5119,NG_033005.2
2888,hsa51195,51195,NG_054939.1
2889,hsa51196,51196,NG_015799.1
2890,hsa51199,51199,NG_032968.1
2891,hsa51204,51204,NG_016979.1
2892,hsa51205,51205,NG_050757.1
2893,hsa51206,51206,NG_031963.2
2894,hsa51207,51207,NG_033976.1
2895,hsa51209,51209,NG_016452.2
2896,hsa51213,51213,NG_021297.2
2897,hsa51218,51218,NG_021217.1
2898,hsa5122,5122,NG_021161.1
2899,hsa51222,51222,NG_053108.1
2900,hsa51224,51224,NG_050760.1
2901,hsa51244,51244,NG_046773.1
2902,hsa51246,51246,NG_033100.1
2903,hsa5125,5125,NG_029445.1
2904,hsa51251,51251,NG_015800.1
2905,hsa51256,51256,NG_033862.1
2906,hsa51259,51259,NG_032976.1
2907,hsa51265,51265,NG_042179.2
2908,hsa5127,5127,NG_012517.2
2909,hsa51284,51284,NG_012569.1
2910,hsa51292,51292,NG_054634.1
2911,hsa51293,51293,NG_028124.1
2912,hsa5130,5130,NG_042817.1
2913,hsa51305,51305,NG_012842.3
2914,hsa51307,51307,NG_053107.1
2915,hsa51309,51309,NG_015846.1
2916,hsa51311,51311,NG_012882.2
2917,hsa5132,5132,NG_009101.1
2918,hsa51322,51322,NG_046603.1
2919,hsa51324,51324,NG_008992.2
2920,hsa51327,51327,NG_046852.1
2921,hsa5133,5133,NG_012110.1
2922,hsa51339,51339,NG_032025.1
2923,hsa51347,51347,NG_051835.1
2924,hsa51360,51360,NG_012797.2
2925,hsa51363,51363,NG_032891.1
2926,hsa51364,51364,NG_042828.1
2927,hsa51365,51365,NG_029696.1
2928,hsa51366,51366,NG_047152.1
2929,hsa5137,5137,NG_051183.1
2930,hsa51371,51371,NG_027550.1
2931,hsa51379,51379,NG_032911.2
2932,hsa51380,51380,NG_030036.1
2933,hsa51384,51384,NG_029242.1
2934,hsa5139,5139,NG_030033.1
2935,hsa514,514,NG_031871.2
2936,hsa5141,5141,NG_029594.1
2937,hsa5142,5142,NG_029038.1
2938,hsa51422,51422,NG_007486.2
2939,hsa51428,51428,NG_046846.2
2940,hsa5143,5143,NG_029629.1
2941,hsa51438,51438,NG_015872.1
2942,hsa5144,5144,NG_027957.2
2943,hsa51442,51442,NG_013270.2
2944,hsa51444,51444,NG_029944.1
2945,hsa5145,5145,NG_009102.1
2946,hsa5146,5146,NG_016752.1
2947,hsa5147,5147,NG_034064.1
2948,hsa51473,51473,NG_012829.2
2949,hsa51474,51474,NG_029859.1
2950,hsa51475,51475,NG_032982.1
2951,hsa51477,51477,NG_031809.1
2952,hsa5148,5148,NG_009834.2
2953,hsa5149,5149,NG_016859.1
2954,hsa5150,5150,NG_029614.1
2955,hsa5151,5151,NG_029630.1
2956,hsa51513,51513,NG_029211.1
2957,hsa5152,5152,NG_047067.1
2958,hsa51520,51520,NG_042294.1
2959,hsa5153,5153,NG_029621.1
2960,hsa5154,5154,NG_029727.1
2961,hsa51548,51548,NG_047153.1
2962,hsa5155,5155,NG_012111.1
2963,hsa5156,5156,NG_009250.1
2964,hsa51566,51566,NG_013222.1
2965,hsa51567,51567,NG_052787.1
2966,hsa51574,51574,NG_032779.1
2967,hsa5158,5158,NG_009839.1
2968,hsa51585,51585,NG_051805.1
2969,hsa5159,5159,NG_023367.1
2970,hsa51592,51592,NG_023287.1
2971,hsa51594,51594,NG_032964.1
2972,hsa5160,5160,NG_016781.1
2973,hsa51601,51601,NG_050665.1
2974,hsa51604,51604,NG_047154.1
2975,hsa51616,51616,NG_012570.1
2976,hsa5162,5162,NG_016860.1
2977,hsa51626,51626,NG_053008.1
2978,hsa51631,51631,NG_030012.1
2979,hsa5165,5165,NG_016762.1
2980,hsa51651,51651,NG_042064.1
2981,hsa51655,51655,NG_028074.1
2982,hsa5166,5166,NG_047008.1
2983,hsa51660,51660,NG_032888.1
2984,hsa51663,51663,NG_051591.1
2985,hsa51667,51667,NG_029746.2
2986,hsa5167,5167,NG_008206.1
2987,hsa5168,5168,NG_029498.3
2988,hsa51684,51684,NG_021338.1
2989,hsa5169,5169,NG_033982.1
2990,hsa51702,51702,NG_052788.1
2991,hsa51715,51715,NG_012170.1
2992,hsa51726,51726,NG_034024.1
2993,hsa5173,5173,NG_028027.1
2994,hsa51733,51733,NG_012858.2
2995,hsa51738,51738,NG_011560.1
2996,hsa5174,5174,NG_050630.2
2997,hsa51741,51741,NG_011698.1
2998,hsa51742,51742,NG_029484.1
2999,hsa51744,51744,NG_015991.1
3000,hsa5175,5175,NG_047009.1
3001,hsa51752,51752,NG_027839.2
3002,hsa51755,51755,NG_065324.1
3003,hsa5176,5176,NG_028180.1
3004,hsa51763,51763,NG_029891.1
3005,hsa51765,51765,NG_029562.1
3006,hsa51776,51776,NG_029373.1
3007,hsa51778,51778,NG_029747.1
3008,hsa5178,5178,NG_012989.1
3009,hsa51804,51804,NG_021182.1
3010,hsa51807,51807,NG_023429.1
3011,hsa5184,5184,NG_013358.2
3012,hsa5189,5189,NG_008341.2
3013,hsa5190,5190,NG_008370.1
3014,hsa5191,5191,NG_008462.1
3015,hsa5192,5192,NG_008342.1
3016,hsa5193,5193,NG_008447.1
3017,hsa5194,5194,NG_008665.1
3018,hsa5195,5195,NG_008340.2
3019,hsa5196,5196,NG_032897.1
3020,hsa5199,5199,NG_009893.1
3021,hsa52,52,NG_012035.1
3022,hsa5204,5204,NG_029695.1
3023,hsa5207,5207,NG_013254.1
3024,hsa5211,5211,NG_034033.1
3025,hsa5213,5213,NG_016199.2
3026,hsa5214,5214,NG_051598.1
3027,hsa5216,5216,NG_032945.1
3028,hsa5217,5217,NG_029114.1
3029,hsa5224,5224,NG_013016.1
3030,hsa5228,5228,NG_029168.1
3031,hsa523,523,NG_047012.1
3032,hsa5230,5230,NG_008862.1
3033,hsa5236,5236,NG_016966.1
3034,hsa5238,5238,NG_034146.2
3035,hsa5241,5241,NG_016475.1
3036,hsa5243,5243,NG_011513.1
3037,hsa5244,5244,NG_007118.2
3038,hsa5245,5245,NG_023046.1
3039,hsa525,525,NG_008016.1
3040,hsa5250,5250,NG_011702.1
3041,hsa5251,5251,NG_007563.2
3042,hsa5255,5255,NG_016599.2
3043,hsa5256,5256,NG_016622.1
3044,hsa5257,5257,NG_016598.1
3045,hsa526,526,NG_047013.1
3046,hsa5261,5261,NG_016616.2
3047,hsa5264,5264,NG_012862.1
3048,hsa5265,5265,NG_008290.1
3049,hsa5269,5269,NG_027692.1
3050,hsa5270,5270,NG_032907.2
3051,hsa5271,5271,NG_052876.1
3052,hsa5274,5274,NG_008217.1
3053,hsa5275,5275,NG_052858.1
3054,hsa5277,5277,NG_009786.1
3055,hsa5279,5279,NG_050631.1
3056,hsa5283,5283,NG_050632.2
3057,hsa5284,5284,NG_012927.1
3058,hsa529,529,NG_009214.2
3059,hsa5290,5290,NG_012113.2
3060,hsa5292,5292,NG_029601.1
3061,hsa5293,5293,NG_023434.1
3062,hsa5294,5294,NG_050579.1
3063,hsa5295,5295,NG_012849.2
3064,hsa5296,5296,NG_033010.2
3065,hsa5297,5297,NG_033052.2
3066,hsa53,53,NG_023296.1
3067,hsa5300,5300,NG_029167.1
3068,hsa5303,5303,NG_016328.1
3069,hsa5306,5306,NG_013017.1
3070,hsa5307,5307,NG_012114.1
3071,hsa5308,5308,NG_007120.1
3072,hsa5309,5309,NG_008147.1
3073,hsa5310,5310,NG_008617.1
3074,hsa5311,5311,NG_008604.1
3075,hsa5313,5313,NG_011677.1
3076,hsa5314,5314,NG_008753.1
3077,hsa5315,5315,NG_052978.1
3078,hsa5317,5317,NG_023337.1
3079,hsa5318,5318,NG_009000.1
3080,hsa5320,5320,NG_012928.1
3081,hsa5321,5321,NG_012203.2
3082,hsa5322,5322,NG_032045.1
3083,hsa5324,5324,NG_023310.1
3084,hsa5325,5325,NG_009384.2
3085,hsa5327,5327,NG_023264.1
3086,hsa5328,5328,NG_011904.1
3087,hsa5329,5329,NG_032898.1
3088,hsa5330,5330,NG_052867.1
3089,hsa5332,5332,NG_032790.2
3090,hsa5333,5333,NG_031922.1
3091,hsa53335,53335,NG_011968.1
3092,hsa53343,53343,NG_030358.1
3093,hsa53347,53347,NG_029750.2
3094,hsa53353,53353,NG_051023.1
3095,hsa53354,53354,NG_029474.1
3096,hsa5336,5336,NG_032019.2
3097,hsa5337,5337,NG_029851.1
3098,hsa5338,5338,NG_029608.1
3099,hsa5339,5339,NG_012492.1
3100,hsa5340,5340,NG_016200.1
3101,hsa53405,53405,NG_031965.1
3102,hsa5345,5345,NG_013215.1
3103,hsa5346,5346,NG_029172.1
3104,hsa535,535,NG_047037.1
3105,hsa5350,5350,NG_009082.1
3106,hsa5351,5351,NG_008159.1
3107,hsa5352,5352,NG_009251.1
3108,hsa5354,5354,NG_008863.2
3109,hsa5355,5355,NG_016420.1
3110,hsa5358,5358,NG_012518.2
3111,hsa5360,5360,NG_012115.2
3112,hsa53615,53615,NG_029897.2
3113,hsa53630,53630,NG_012171.1
3114,hsa53632,53632,NG_016458.1
3115,hsa53635,53635,NG_050666.1
3116,hsa5365,5365,NG_013255.1
3117,hsa537,537,NG_052807.1
3118,hsa5371,5371,NG_029036.1
3119,hsa5373,5373,NG_009209.1
3120,hsa5375,5375,NG_052979.1
3121,hsa5376,5376,NG_007949.1
3122,hsa5378,5378,NG_008648.1
3123,hsa538,538,NG_013224.2
3124,hsa53826,53826,NG_013071.1
3125,hsa53904,53904,NG_011635.1
3126,hsa5393,5393,NG_029848.1
3127,hsa53942,53942,NG_047156.1
3128,hsa53944,53944,NG_051236.1
3129,hsa53947,53947,NG_007495.2
3130,hsa5395,5395,NG_008466.1
3131,hsa5396,5396,NG_031856.2
3132,hsa54,54,NG_028127.1
3133,hsa540,540,NG_008806.1
3134,hsa54014,54014,NG_029919.2
3135,hsa54020,54020,NG_033931.1
3136,hsa5406,5406,NG_023311.1
3137,hsa5409,5409,NG_042278.1
3138,hsa54101,54101,NG_032113.2
3139,hsa54106,54106,NG_033933.1
3140,hsa5414,5414,NG_029570.1
3141,hsa54187,54187,NG_052789.1
3142,hsa5420,5420,NG_042104.1
3143,hsa54205,54205,NG_023438.1
3144,hsa54209,54209,NG_011561.1
3145,hsa54210,54210,NG_029525.2
3146,hsa5422,5422,NG_016798.2
3147,hsa54221,54221,NG_029707.1
3148,hsa5424,5424,NG_033800.1
3149,hsa5426,5426,NG_033840.1
3150,hsa5427,5427,NG_052877.1
3151,hsa5428,5428,NG_008218.2
3152,hsa5429,5429,NG_009252.1
3153,hsa5430,5430,NG_027747.2
3154,hsa54344,54344,NG_012871.1
3155,hsa54345,54345,NG_008095.1
3156,hsa54361,54361,NG_008974.1
3157,hsa54386,54386,NG_051307.2
3158,hsa5440,5440,NG_033832.1
3159,hsa54413,54413,NG_015874.1
3160,hsa5442,5442,NG_023049.1
3161,hsa5443,5443,NG_008997.1
3162,hsa54434,54434,NG_029846.1
3163,hsa5444,5444,NG_008779.2
3164,hsa54440,54440,NG_013260.1
3165,hsa54443,54443,NG_041770.1
3166,hsa5445,5445,NG_008725.1
3167,hsa54453,54453,NG_016310.2
3168,hsa54457,54457,NG_016220.1
3169,hsa5447,5447,NG_008930.1
3170,hsa54474,54474,NG_012286.1
3171,hsa54476,54476,NG_029374.1
3172,hsa54487,54487,NG_022931.2
3173,hsa5449,5449,NG_008225.2
3174,hsa54490,54490,NG_029527.1
3175,hsa54495,54495,NG_053149.1
3176,hsa54496,54496,NG_054896.1
3177,hsa54499,54499,NG_032004.1
3178,hsa545,545,NG_008951.1
3179,hsa54505,54505,NG_051592.1
3180,hsa54507,54507,NG_012172.1
3181,hsa5452,5452,NG_030365.1
3182,hsa54521,54521,NG_021368.2
3183,hsa54535,54535,NG_054878.1
3184,hsa54539,54539,NG_052579.1
3185,hsa54552,54552,NG_021314.1
3186,hsa54556,54556,NG_023322.1
3187,hsa5456,5456,NG_009936.2
3188,hsa54567,54567,NG_046974.1
3189,hsa54583,54583,NG_015865.1
3190,hsa54585,54585,NG_033917.1
3191,hsa546,546,NG_008838.3
3192,hsa54617,54617,NG_017163.2
3193,hsa54625,54625,NG_051076.1
3194,hsa5465,5465,NG_012204.2
3195,hsa54658,54658,NG_033238.1
3196,hsa5467,5467,NG_012345.2
3197,hsa5468,5468,NG_011749.1
3198,hsa5469,5469,NG_046996.1
3199,hsa547,547,NG_029724.1
3200,hsa54704,54704,NG_012233.1
3201,hsa54715,54715,NG_011881.2
3202,hsa54716,54716,NG_023204.1
3203,hsa54726,54726,NG_047157.1
3204,hsa54732,54732,NG_051237.1
3205,hsa5475,5475,NG_012519.1
3206,hsa54756,54756,NG_047158.1
3207,hsa5476,5476,NG_008291.1
3208,hsa54765,54765,NG_052784.1
3209,hsa5478,5478,NG_029697.1
3210,hsa5479,5479,NG_012979.1
3211,hsa54790,54790,NG_028191.1
3212,hsa54795,54795,NG_027551.2
3213,hsa54796,54796,NG_051226.1
3214,hsa54802,54802,NG_042822.1
3215,hsa54806,54806,NG_008643.2
3216,hsa54820,54820,NG_021210.1
3217,hsa54821,54821,NG_054897.1
3218,hsa54822,54822,NG_021363.2
3219,hsa54830,54830,NG_021315.1
3220,hsa54840,54840,NG_012821.2
3221,hsa54843,54843,NG_029712.2
3222,hsa54857,54857,NG_016413.1
3223,hsa54862,54862,NG_013089.1
3224,hsa54872,54872,NG_051621.1
3225,hsa54880,54880,NG_008880.1
3226,hsa54888,54888,NG_028215.1
3227,hsa54892,54892,NG_047159.1
3228,hsa54894,54894,NG_042894.1
3229,hsa549,549,NG_008017.1
3230,hsa54901,54901,NG_021195.2
3231,hsa54902,54902,NG_029806.1
3232,hsa54903,54903,NG_013032.1
3233,hsa54904,54904,NG_023292.1
3234,hsa54906,54906,NG_021250.1
3235,hsa54908,54908,NG_051238.1
3236,hsa54919,54919,NG_033137.1
3237,hsa54931,54931,NG_050898.1
3238,hsa54937,54937,NG_033786.1
3239,hsa54938,54938,NG_031865.1
3240,hsa5494,5494,NG_029698.1
3241,hsa54941,54941,NG_042056.1
3242,hsa54949,54949,NG_023393.1
3243,hsa5495,5495,NG_011678.1
3244,hsa54954,54954,NG_021316.2
3245,hsa54960,54960,NG_021285.1
3246,hsa54968,54968,NG_016618.1
3247,hsa54971,54971,NG_029918.1
3248,hsa54977,54977,NG_016931.1
3249,hsa5498,5498,NG_012877.2
3250,hsa55,55,NG_047032.1
3251,hsa550,550,NG_033037.1
3252,hsa5500,5500,NG_052878.1
3253,hsa55002,55002,NG_053059.1
3254,hsa55005,55005,NG_033031.1
3255,hsa5501,5501,NG_030325.1
3256,hsa55023,55023,NG_051932.1
3257,hsa55024,55024,NG_015824.1
3258,hsa55032,55032,NG_052994.1
3259,hsa55033,55033,NG_032173.1
3260,hsa55034,55034,NG_053177.1
3261,hsa55036,55036,NG_029761.1
3262,hsa55054,55054,NG_023038.1
3263,hsa5506,5506,NG_012116.1
3264,hsa55068,55068,NG_052843.1
3265,hsa5507,5507,NG_051567.1
3266,hsa55072,55072,NG_042234.1
3267,hsa55075,55075,NG_054898.1
3268,hsa55083,55083,NG_053061.1
3269,hsa55084,55084,NG_028200.2
3270,hsa55086,55086,NG_021317.1
3271,hsa551,551,NG_008663.1
3272,hsa55102,55102,NG_051091.1
3273,hsa55109,55109,NG_027822.1
3274,hsa55112,55112,NG_034051.2
3275,hsa55118,55118,NG_029831.1
3276,hsa55120,55120,NG_007418.1
3277,hsa55130,55130,NG_042820.1
3278,hsa55131,55131,NG_015802.1
3279,hsa55132,55132,NG_047161.1
3280,hsa55145,55145,NG_011837.1
3281,hsa55148,55148,NG_051089.1
3282,hsa55149,55149,NG_028096.1
3283,hsa5515,5515,NG_046997.1
3284,hsa55152,55152,NG_033126.1
3285,hsa55157,55157,NG_016138.1
3286,hsa55160,55160,NG_050860.1
3287,hsa55163,55163,NG_008744.1
3288,hsa55179,55179,NG_029625.1
3289,hsa5518,5518,NG_047068.1
3290,hsa55183,55183,NG_017162.1
3291,hsa55187,55187,NG_056877.1
3292,hsa5519,5519,NG_012117.2
3293,hsa55193,55193,NG_032108.1
3294,hsa55195,55195,NG_054635.1
3295,hsa55198,55198,NG_030419.1
3296,hsa55209,55209,NG_034132.1
3297,hsa5521,5521,NG_011570.2
3298,hsa55210,55210,NG_053035.1
3299,hsa55211,55211,NG_053021.1
3300,hsa55212,55212,NG_009111.1
3301,hsa55215,55215,NG_011736.1
3302,hsa55217,55217,NG_021318.1
3303,hsa5522,5522,NG_029233.1
3304,hsa55226,55226,NG_051821.1
3305,hsa5523,5523,NG_029234.1
3306,hsa5524,5524,NG_029370.1
3307,hsa55240,55240,NG_042823.1
3308,hsa55245,55245,NG_021421.1
3309,hsa55250,55250,NG_050745.1
3310,hsa55252,55252,NG_052995.1
3311,hsa55258,55258,NG_030037.1
3312,hsa5526,5526,NG_046897.1
3313,hsa55269,55269,NG_029751.2
3314,hsa5527,5527,NG_047069.1
3315,hsa55275,55275,NG_034190.1
3316,hsa5528,5528,NG_050636.1
3317,hsa55280,55280,NG_041811.1
3318,hsa55285,55285,NG_016385.1
3319,hsa55290,55290,NG_046965.1
3320,hsa55294,55294,NG_029466.2
3321,hsa55300,55300,NG_052594.1
3322,hsa55304,55304,NG_053155.1
3323,hsa55324,55324,NG_054899.1
3324,hsa55349,55349,NG_028042.1
3325,hsa5536,5536,NG_028163.1
3326,hsa5538,5538,NG_009192.1
3327,hsa554,554,NG_008687.1
3328,hsa55422,55422,NG_045232.1
3329,hsa55437,55437,NG_029572.1
3330,hsa5544,5544,NG_013305.2
3331,hsa5546,5546,NG_008138.1
3332,hsa5550,5550,NG_011472.1
3333,hsa55500,55500,NG_065161.1
3334,hsa55501,55501,NG_029854.1
3335,hsa55503,55503,NG_050669.1
3336,hsa55505,55505,NG_011562.1
3337,hsa5551,5551,NG_009615.1
3338,hsa55553,55553,NG_012881.1
3339,hsa55554,55554,NG_029894.1
3340,hsa55558,55558,NG_021298.2
3341,hsa55559,55559,NG_012688.3
3342,hsa55567,55567,NG_052617.1
3343,hsa55572,55572,NG_028029.1
3344,hsa5558,5558,NG_034261.1
3345,hsa55589,55589,NG_047162.1
3346,hsa55591,55591,NG_028987.2
3347,hsa55596,55596,NG_053194.1
3348,hsa55602,55602,NG_050671.1
3349,hsa55603,55603,NG_056210.1
3350,hsa55605,55605,NG_017067.1
3351,hsa55607,55607,NG_015803.1
3352,hsa55613,55613,NG_016567.1
3353,hsa55614,55614,NG_028043.2
3354,hsa55615,55615,NG_029235.2
3355,hsa55619,55619,NG_034039.1
3356,hsa55621,55621,NG_054900.1
3357,hsa55624,55624,NG_009205.3
3358,hsa55627,55627,NG_053070.1
3359,hsa55628,55628,NG_013216.1
3360,hsa55636,55636,NG_007009.1
3361,hsa55651,55651,NG_011765.1
3362,hsa55655,55655,NG_052633.1
3363,hsa55656,55656,NG_047163.1
3364,hsa55658,55658,NG_016713.1
3365,hsa5566,5566,NG_029699.1
3366,hsa5567,5567,NG_029728.1
3367,hsa55670,55670,NG_008339.1
3368,hsa55679,55679,NG_042235.1
3369,hsa5568,5568,NG_042177.1
3370,hsa55684,55684,NG_031950.1
3371,hsa55690,55690,NG_033900.1
3372,hsa55691,55691,NG_047164.1
3373,hsa55697,55697,NG_054902.1
3374,hsa55699,55699,NG_041799.1
3375,hsa55701,55701,NG_034001.1
3376,hsa55703,55703,NG_031837.1
3377,hsa55704,55704,NG_031944.1
3378,hsa55707,55707,NG_047165.1
3379,hsa55714,55714,NG_042859.1
3380,hsa55717,55717,NG_023290.1
3381,hsa5573,5573,NG_007093.3
3382,hsa55737,55737,NG_029970.1
3383,hsa55740,55740,NG_051578.1
3384,hsa55743,55743,NG_033999.1
3385,hsa55746,55746,NG_011969.1
3386,hsa5575,5575,NG_042811.1
3387,hsa55750,55750,NG_032079.1
3388,hsa55755,55755,NG_008999.1
3389,hsa55756,55756,NG_016981.2
3390,hsa55768,55768,NG_034108.1
3391,hsa55769,55769,NG_052996.1
3392,hsa55770,55770,NG_047166.1
3393,hsa55775,55775,NG_009164.1
3394,hsa55777,55777,NG_017003.2
3395,hsa5578,5578,NG_012206.1
3396,hsa55787,55787,NG_016267.1
3397,hsa5579,5579,NG_029003.2
3398,hsa55796,55796,NG_016324.2
3399,hsa5580,5580,NG_033864.2
3400,hsa55800,55800,NG_016283.1
3401,hsa55803,55803,NG_051975.1
3402,hsa55806,55806,NG_008166.1
3403,hsa55811,55811,NG_016139.1
3404,hsa55814,55814,NG_047017.1
3405,hsa55815,55815,NG_054717.1
3406,hsa55818,55818,NG_047167.1
3407,hsa5582,5582,NG_009114.1
3408,hsa55823,55823,NG_029670.2
3409,hsa55827,55827,NG_053062.1
3410,hsa55829,55829,NG_013322.1
3411,hsa5583,5583,NG_011514.1
3412,hsa55832,55832,NG_051239.1
3413,hsa55835,55835,NG_009165.2
3414,hsa55841,55841,NG_021467.2
3415,hsa55851,55851,NG_027934.1
3416,hsa55857,55857,NG_033122.2
3417,hsa55863,55863,NG_053120.1
3418,hsa55869,55869,NG_015851.1
3419,hsa5587,5587,NG_052879.1
3420,hsa55885,55885,NG_029785.2
3421,hsa5589,5589,NG_009300.1
3422,hsa55898,55898,NG_061633.1
3423,hsa5590,5590,NG_029616.1
3424,hsa55900,55900,NG_033997.1
3425,hsa55902,55902,NG_011520.1
3426,hsa55904,55904,NG_033949.1
3427,hsa55906,55906,NG_021200.2
3428,hsa5591,5591,NG_023435.1
3429,hsa55914,55914,NG_031822.2
3430,hsa55916,55916,NG_029691.1
3431,hsa5592,5592,NG_029982.1
3432,hsa55920,55920,NG_051834.1
3433,hsa55922,55922,NG_016800.1
3434,hsa5594,5594,NG_023054.2
3435,hsa5595,5595,NG_029936.1
3436,hsa55958,55958,NG_051240.1
3437,hsa55967,55967,NG_032672.1
3438,hsa55971,55971,NG_013090.1
3439,hsa5599,5599,NG_029053.2
3440,hsa55998,55998,NG_009851.1
3441,hsa5600,5600,NG_034042.1
3442,hsa56000,56000,NG_012572.1
3443,hsa56006,56006,NG_051200.1
3444,hsa5601,5601,NG_029059.1
3445,hsa5602,5602,NG_013325.2
3446,hsa5604,5604,NG_008305.1
3447,hsa5605,5605,NG_007996.1
3448,hsa56052,56052,NG_009202.1
3449,hsa5606,5606,NG_028256.2
3450,hsa5607,5607,NG_029143.1
3451,hsa5608,5608,NG_029437.2
3452,hsa5609,5609,NG_029438.2
3453,hsa5610,5610,NG_030351.1
3454,hsa5611,5611,NG_041830.1
3455,hsa5613,5613,NG_016716.1
3456,hsa56139,56139,NG_050674.1
3457,hsa56145,56145,NG_050675.1
3458,hsa56146,56146,NG_050677.1
3459,hsa56157,56157,NG_016253.1
3460,hsa56159,56159,NG_012574.2
3461,hsa56160,56160,NG_053143.1
3462,hsa5617,5617,NG_029819.1
3463,hsa5618,5618,NG_029042.2
3464,hsa5621,5621,NG_009087.1
3465,hsa5624,5624,NG_016323.1
3466,hsa56246,56246,NG_016234.1
3467,hsa5625,5625,NG_008226.3
3468,hsa56254,56254,NG_047002.1
3469,hsa5626,5626,NG_015889.1
3470,hsa5627,5627,NG_009813.1
3471,hsa56271,56271,NG_021339.1
3472,hsa56288,56288,NG_052602.1
3473,hsa5630,5630,NG_008354.1
3474,hsa56302,56302,NG_046912.1
3475,hsa5631,5631,NG_008407.1
3476,hsa5634,5634,NG_016717.1
3477,hsa56342,56342,NG_051640.1
3478,hsa5644,5644,NG_008307.3
3479,hsa5645,5645,NG_008322.2
3480,hsa5646,5646,NG_029635.1
3481,hsa56474,56474,NG_013229.1
3482,hsa56479,56479,NG_047170.1
3483,hsa5648,5648,NG_029440.1
3484,hsa5649,5649,NG_011877.2
3485,hsa5651,5651,NG_012207.1
3486,hsa5653,5653,NG_011825.1
3487,hsa5654,5654,NG_011554.1
3488,hsa56548,56548,NG_029799.1
3489,hsa5660,5660,NG_009301.1
3490,hsa56616,56616,NG_029459.1
3491,hsa56623,56623,NG_016126.1
3492,hsa5663,5663,NG_007386.2
3493,hsa5664,5664,NG_007381.2
3494,hsa56647,56647,NG_029095.1
3495,hsa56649,56649,NG_011858.2
3496,hsa56652,56652,NG_012624.1
3497,hsa56672,56672,NG_030417.1
3498,hsa567,567,NG_012920.2
3499,hsa56704,56704,NG_046331.1
3500,hsa56729,56729,NG_023447.1
3501,hsa56731,56731,NG_046992.1
3502,hsa56848,56848,NG_029867.1
3503,hsa56850,56850,NG_016263.2
3504,hsa5687,5687,NG_011703.2
3505,hsa5688,5688,NG_046998.1
3506,hsa56899,56899,NG_029860.2
3507,hsa56913,56913,NG_027732.1
3508,hsa56917,56917,NG_051644.1
3509,hsa56922,56922,NG_008100.1
3510,hsa56924,56924,NG_033169.1
3511,hsa56928,56928,NG_032984.1
3512,hsa56937,56937,NG_031951.1
3513,hsa56938,56938,NG_030359.2
3514,hsa56944,56944,NG_053036.1
3515,hsa56945,56945,NG_012174.1
3516,hsa56955,56955,NG_034073.1
3517,hsa5696,5696,NG_028165.1
3518,hsa5697,5697,NG_023338.1
3519,hsa56975,56975,NG_033970.1
3520,hsa56997,56997,NG_012825.2
3521,hsa56998,56998,NG_029165.1
3522,hsa570,570,NG_009774.1
3523,hsa5700,5700,NG_046999.1
3524,hsa57010,57010,NG_021211.1
3525,hsa57017,57017,NG_027696.1
3526,hsa57038,57038,NG_008601.1
3527,hsa57054,57054,NG_028145.1
3528,hsa57057,57057,NG_015805.1
3529,hsa57060,57060,NG_029694.1
3530,hsa57082,57082,NG_033114.1
3531,hsa57096,57096,NG_008933.1
3532,hsa571,571,NG_029658.2
3533,hsa5710,5710,NG_029700.1
3534,hsa57104,57104,NG_023394.1
3535,hsa57107,57107,NG_013033.1
3536,hsa57122,57122,NG_046600.2
3537,hsa57142,57142,NG_029037.2
3538,hsa57158,57158,NG_031867.1
3539,hsa5716,5716,NG_012521.1
3540,hsa57165,57165,NG_011838.1
3541,hsa57176,57176,NG_034224.1
3542,hsa57178,57178,NG_028289.1
3543,hsa57187,57187,NG_021468.1
3544,hsa57190,57190,NG_009930.1
3545,hsa57192,57192,NG_015806.1
3546,hsa57216,57216,NG_023420.1
3547,hsa5723,5723,NG_011473.1
3548,hsa5724,5724,NG_029815.1
3549,hsa5727,5727,NG_007664.1
3550,hsa5728,5728,NG_007466.2
3551,hsa57282,57282,NG_021401.1
3552,hsa5729,5729,NG_012118.1
3553,hsa573,573,NG_029018.1
3554,hsa5732,5732,NG_013082.1
3555,hsa5733,5733,NG_029509.2
3556,hsa57336,57336,NG_051652.1
3557,hsa57338,57338,NG_009797.1
3558,hsa5734,5734,NG_047000.1
3559,hsa5737,5737,NG_052997.1
3560,hsa57379,57379,NG_011588.1
3561,hsa5740,5740,NG_007940.1
